Positive,Negative
positive,negative 
positives ,negatives 
success ,fail 
successes ,fails 
successful ,failing 
succeed ,failure 
succeeds,weak 
succeeding ,weakness 
succeeded ,weaknesses
accomplish ,difficult 
accomplishes ,difficulty 
accomplishing ,hurdle 
accomplished,hurdles 
accomplishment ,obstacle 
accomplishments ,obstacles 
strong ,slump 
strength ,slumps
strengths ,slumping 
certain,slumped 
certainty ,uncertain 
definite ,uncertainty 
solid ,unsettled 
excellent ,unfavorable 
good ,downturn
leading ,depressed 
achieve ,disappoint 
achieves,disappoints 
achieved ,disappointing 
achieving ,disappointed
achievement ,disappointment 
achievements ,risk 
progress ,risks 
progressing,risky 
deliver ,threat 
delivers ,threats 
delivered ,penalty 
delivering ,penalties 
leader ,down
leading ,decrease 
pleased ,decreases 
reward,decreasing 
rewards ,decreased 
rewarding ,decline 
rewarded ,declines 
opportunity ,declining
opportunities ,declined 
enjoy ,fall 
enjoys,falls 
enjoying ,falling 
enjoyed ,fell 
encouraged ,fallen 
encouraging ,drop 
up ,drops 
increase ,dropping 
increases,dropped
increasing ,deteriorate 
increased ,deteriorates 
rise ,deteriorating 
rises ,deteriorated 
rising ,worsen 
rose ,worsens
risen ,worsening 
improve ,weaken 
improves,weakens 
improving ,weakening 
improved ,weakened 
improvement ,worse 
improvements ,worst 
strengthen ,low 
strengthens,lower
strengthening ,lowest 
strengthened ,less 
stronger ,least 
strongest ,smaller 
better ,smallest 
best ,shrink 
more ,shrinks 
most,shrinking 
above ,shrunk
record ,
high ,
higher ,
highest ,
greater ,
greatest ,
larger ,
largest ,
grow,
grows ,
growing ,
grew ,
grown ,
growth ,
expand ,
expands ,
expanding ,
expanded,
expansion,
exceed,
exceeds,
exceeded,
exceeding,
beat,
beats,
beating ,
